[2024-09-02 19:06:43,036] INFO [QuorumController id=1] Creating new QuorumController with clusterId 6jKgrn6AQWasXgFPRzxV0g. (org.apache.kafka.controller.QuorumController)
[2024-09-02 19:06:43,042] INFO [QuorumController id=1] Becoming the active controller at epoch 1, next write offset 1. (org.apache.kafka.controller.QuorumController)
[2024-09-02 19:06:43,052] WARN [QuorumController id=1] Performing controller activation. The metadata log appears to be empty. Appending 1 bootstrap record(s) in metadata transaction at metadata.version 3.8-IV0 from bootstrap source 'the binary bootstrap metadata file: /tmp/kraft-combined-logs/bootstrap.checkpoint'. Setting the ZK migration state to NONE since this is a de-novo KRaft cluster. (org.apache.kafka.controller.QuorumController)
[2024-09-02 19:06:43,054] INFO [QuorumController id=1] Replayed BeginTransactionRecord(name='Bootstrap records') at offset 1. (org.apache.kafka.controller.OffsetControlManager)
[2024-09-02 19:06:43,055] INFO [QuorumController id=1] Replayed a FeatureLevelRecord setting metadata.version to 3.8-IV0 (org.apache.kafka.controller.FeatureControlManager)
[2024-09-02 19:06:43,056] INFO [QuorumController id=1] Replayed EndTransactionRecord() at offset 4. (org.apache.kafka.controller.OffsetControlManager)
[2024-09-02 19:06:43,231] INFO [QuorumController id=1] Replayed RegisterControllerRecord contaning ControllerRegistration(id=1, incarnationId=NOn961JySICGnx3ZjsWg9g, zkMigrationReady=false, listeners=[Endpoint(listenerName='CONTROLLER', securityProtocol=PLAINTEXT, host='Ugoo.', port=9093)], supportedFeatures={metadata.version: 1-20}). (org.apache.kafka.controller.ClusterControlManager)
[2024-09-02 19:06:43,395] WARN [QuorumController id=1] Broker 1 registered with feature metadata.version that is unknown to the controller (org.apache.kafka.controller.ClusterControlManager)
[2024-09-02 19:06:43,400] INFO [QuorumController id=1] Replayed initial RegisterBrokerRecord for broker 1: RegisterBrokerRecord(brokerId=1, isMigratingZkBroker=false, incarnationId=XWMPCJrXQgCUreLdrflChA, brokerEpoch=6, endPoints=[BrokerEndpoint(name='PLAINTEXT', host='localhost', port=9092, securityProtocol=0)], features=[BrokerFeature(name='metadata.version', minSupportedVersion=1, maxSupportedVersion=20)], rack=null, fenced=true, inControlledShutdown=false, logDirs=[bOn0HQux8YJPAUEV0wnUlw]) (org.apache.kafka.controller.ClusterControlManager)
[2024-09-02 19:06:43,549] INFO [QuorumController id=1] The request from broker 1 to unfence has been granted because it has caught up with the offset of its register broker record 6. (org.apache.kafka.controller.BrokerHeartbeatManager)
[2024-09-02 19:06:43,559] INFO [QuorumController id=1] Replayed BrokerRegistrationChangeRecord modifying the registration for broker 1: BrokerRegistrationChangeRecord(brokerId=1, brokerEpoch=6, fenced=-1, inControlledShutdown=0, logDirs=[]) (org.apache.kafka.controller.ClusterControlManager)
[2024-09-02 19:09:04,158] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='weather_api', numPartitions=1, replicationFactor=1, assignments=[], configs=[]): SUCCESS (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:04,158] INFO [QuorumController id=1] Replayed TopicRecord for topic weather_api with topic ID LYfCWgR5Ray0oKaPTENqOg. (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:04,159] INFO [QuorumController id=1] Replayed PartitionRecord for new partition weather_api-0 with topic ID LYfCWgR5Ray0oKaPTENqOg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='__consumer_offsets', numPartitions=50, replicationFactor=1, assignments=[], configs=[CreateableTopicConfig(name='compression.type', value='producer'), CreateableTopicConfig(name='cleanup.policy', value='compact'), CreateableTopicConfig(name='segment.bytes', value='104857600')]): SUCCESS (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] Replayed TopicRecord for topic __consumer_offsets with topic ID 6IWF03JWSnSy2TPxm_2Ceg. (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] Replayed ConfigRecord for ConfigResource(type=TOPIC, name='__consumer_offsets') which set configuration compression.type to producer (org.apache.kafka.controller.ConfigurationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] Replayed ConfigRecord for ConfigResource(type=TOPIC, name='__consumer_offsets') which set configuration cleanup.policy to compact (org.apache.kafka.controller.ConfigurationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] Replayed ConfigRecord for ConfigResource(type=TOPIC, name='__consumer_offsets') which set configuration segment.bytes to 104857600 (org.apache.kafka.controller.ConfigurationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-0 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-1 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,108] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-2 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,109] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-3 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,109] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-4 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
